fecha,presa,nivel_pct,volumen_hm3,capacidad_hm3
2024-01-01,La Tinaja,41.93,23.06,55.0
2024-01-02,La Tinaja,41.85,23.02,55.0
2024-01-03,La Tinaja,41.78,22.98,55.0
2024-01-04,La Tinaja,41.84,23.01,55.0
2024-01-05,La Tinaja,41.76,22.97,55.0
2024-01-06,La Tinaja,41.49,22.82,55.0
2024-01-07,La Tinaja,41.49,22.82,55.0
2024-01-08,La Tinaja,41.4,22.77,55.0
2024-01-09,La Tinaja,41.31,22.72,55.0
2024-01-10,La Tinaja,41.28,22.7,55.0
2024-01-11,La Tinaja,41.26,22.69,55.0
2024-01-12,La Tinaja,41.38,22.76,55.0
2024-01-13,La Tinaja,41.43,22.79,55.0
2024-01-14,La Tinaja,41.4,22.77,55.0
2024-01-15,La Tinaja,41.23,22.68,55.0
2024-01-16,La Tinaja,41.03,22.57,55.0
2024-01-17,La Tinaja,41.02,22.56,55.0
2024-01-18,La Tinaja,41.16,22.64,55.0
2024-01-19,La Tinaja,41.12,22.61,55.0
2024-01-20,La Tinaja,41.05,22.58,55.0
2024-01-21,La Tinaja,41.08,22.59,55.0
2024-01-22,La Tinaja,40.81,22.44,55.0
2024-01-23,La Tinaja,40.71,22.39,55.0
2024-01-24,La Tinaja,40.73,22.4,55.0
2024-01-25,La Tinaja,40.81,22.45,55.0
2024-01-26,La Tinaja,40.72,22.4,55.0
2024-01-27,La Tinaja,40.73,22.4,55.0
2024-01-28,La Tinaja,40.71,22.39,55.0
2024-01-29,La Tinaja,40.78,22.43,55.0
2024-01-30,La Tinaja,40.56,22.31,55.0
2024-01-31,La Tinaja,40.59,22.33,55.0
2024-02-01,La Tinaja,40.31,22.17,55.0
2024-02-02,La Tinaja,39.86,21.92,55.0
2024-02-03,La Tinaja,39.71,21.84,55.0
2024-02-04,La Tinaja,39.51,21.73,55.0
2024-02-05,La Tinaja,39.59,21.77,55.0
2024-02-06,La Tinaja,39.63,21.79,55.0
2024-02-07,La Tinaja,39.39,21.66,55.0
2024-02-08,La Tinaja,39.45,21.7,55.0
2024-02-09,La Tinaja,39.25,21.58,55.0
2024-02-10,La Tinaja,39.17,21.55,55.0
2024-02-11,La Tinaja,39.07,21.49,55.0
2024-02-12,La Tinaja,39.03,21.47,55.0
2024-02-13,La Tinaja,39.09,21.5,55.0
2024-02-14,La Tinaja,39.13,21.52,55.0
2024-02-15,La Tinaja,39.13,21.52,55.0
2024-02-16,La Tinaja,39.16,21.54,55.0
2024-02-17,La Tinaja,39.18,21.55,55.0
2024-02-18,La Tinaja,39.03,21.46,55.0
2024-02-19,La Tinaja,38.86,21.37,55.0
2024-02-20,La Tinaja,38.73,21.3,55.0
2024-02-21,La Tinaja,38.75,21.31,55.0
2024-02-22,La Tinaja,38.65,21.26,55.0
2024-02-23,La Tinaja,38.94,21.42,55.0
2024-02-24,La Tinaja,38.76,21.32,55.0
2024-02-25,La Tinaja,38.54,21.2,55.0
2024-02-26,La Tinaja,38.6,21.23,55.0
2024-02-27,La Tinaja,38.75,21.31,55.0
2024-02-28,La Tinaja,38.77,21.32,55.0
2024-02-29,La Tinaja,38.83,21.36,55.0
2024-03-01,La Tinaja,38.97,21.43,55.0
2024-03-02,La Tinaja,38.88,21.38,55.0
2024-03-03,La Tinaja,38.58,21.22,55.0
2024-03-04,La Tinaja,38.42,21.13,55.0
2024-03-05,La Tinaja,38.49,21.17,55.0
2024-03-06,La Tinaja,38.19,21.01,55.0
2024-03-07,La Tinaja,38.12,20.96,55.0
2024-03-08,La Tinaja,38.08,20.94,55.0
2024-03-09,La Tinaja,37.95,20.87,55.0
2024-03-10,La Tinaja,37.98,20.89,55.0
2024-03-11,La Tinaja,37.99,20.89,55.0
2024-03-12,La Tinaja,38.25,21.04,55.0
2024-03-13,La Tinaja,38.27,21.05,55.0
2024-03-14,La Tinaja,38.1,20.95,55.0
2024-03-15,La Tinaja,37.93,20.86,55.0
2024-03-16,La Tinaja,37.73,20.75,55.0
2024-03-17,La Tinaja,37.79,20.79,55.0
2024-03-18,La Tinaja,37.63,20.7,55.0
2024-03-19,La Tinaja,37.54,20.65,55.0
2024-03-20,La Tinaja,37.57,20.66,55.0
2024-03-21,La Tinaja,37.38,20.56,55.0
2024-03-22,La Tinaja,37.26,20.49,55.0
2024-03-23,La Tinaja,36.9,20.3,55.0
2024-03-24,La Tinaja,36.66,20.16,55.0
2024-03-25,La Tinaja,36.5,20.07,55.0
2024-03-26,La Tinaja,36.48,20.06,55.0
2024-03-27,La Tinaja,36.58,20.12,55.0
2024-03-28,La Tinaja,36.5,20.07,55.0
2024-03-29,La Tinaja,36.46,20.05,55.0
2024-03-30,La Tinaja,36.4,20.02,55.0
2024-03-31,La Tinaja,36.49,20.07,55.0
2024-04-01,La Tinaja,36.51,20.08,55.0
2024-04-02,La Tinaja,36.44,20.04,55.0
2024-04-03,La Tinaja,36.17,19.9,55.0
2024-04-04,La Tinaja,36.2,19.91,55.0
2024-04-05,La Tinaja,36.14,19.88,55.0
2024-04-06,La Tinaja,36.21,19.92,55.0
2024-04-07,La Tinaja,36.1,19.85,55.0
2024-04-08,La Tinaja,36.28,19.95,55.0
2024-04-09,La Tinaja,36.11,19.86,55.0
2024-04-10,La Tinaja,36.24,19.93,55.0
2024-04-11,La Tinaja,36.14,19.88,55.0
2024-04-12,La Tinaja,35.95,19.77,55.0
2024-04-13,La Tinaja,35.67,19.62,55.0
2024-04-14,La Tinaja,35.54,19.54,55.0
2024-04-15,La Tinaja,35.64,19.6,55.0
2024-04-16,La Tinaja,35.65,19.61,55.0
2024-04-17,La Tinaja,35.64,19.6,55.0
2024-04-18,La Tinaja,35.17,19.34,55.0
2024-04-19,La Tinaja,35.16,19.34,55.0
2024-04-20,La Tinaja,35.13,19.32,55.0
2024-04-21,La Tinaja,34.94,19.22,55.0
2024-04-22,La Tinaja,34.73,19.1,55.0
2024-04-23,La Tinaja,34.62,19.04,55.0
2024-04-24,La Tinaja,34.77,19.12,55.0
2024-04-25,La Tinaja,34.5,18.97,55.0
2024-04-26,La Tinaja,34.32,18.88,55.0
2024-04-27,La Tinaja,34.41,18.93,55.0
2024-04-28,La Tinaja,34.23,18.83,55.0
2024-04-29,La Tinaja,34.07,18.74,55.0
2024-04-30,La Tinaja,33.97,18.68,55.0
2024-05-01,La Tinaja,33.65,18.51,55.0
2024-05-02,La Tinaja,33.56,18.46,55.0
2024-05-03,La Tinaja,33.24,18.28,55.0
2024-05-04,La Tinaja,33.25,18.29,55.0
2024-05-05,La Tinaja,33.12,18.21,55.0
2024-05-06,La Tinaja,33.33,18.33,55.0
2024-05-07,La Tinaja,33.24,18.28,55.0
2024-05-08,La Tinaja,33.32,18.32,55.0
2024-05-09,La Tinaja,32.99,18.15,55.0
2024-05-10,La Tinaja,32.84,18.06,55.0
2024-05-11,La Tinaja,32.76,18.02,55.0
2024-05-12,La Tinaja,32.89,18.09,55.0
2024-05-13,La Tinaja,32.51,17.88,55.0
2024-05-14,La Tinaja,32.53,17.89,55.0
2024-05-15,La Tinaja,32.49,17.87,55.0
2024-05-16,La Tinaja,32.59,17.92,55.0
2024-05-17,La Tinaja,32.57,17.91,55.0
2024-05-18,La Tinaja,32.44,17.84,55.0
2024-05-19,La Tinaja,32.23,17.73,55.0
2024-05-20,La Tinaja,31.92,17.55,55.0
2024-05-21,La Tinaja,31.82,17.5,55.0
2024-05-22,La Tinaja,31.66,17.41,55.0
2024-05-23,La Tinaja,31.83,17.51,55.0
2024-05-24,La Tinaja,31.61,17.39,55.0
2024-05-25,La Tinaja,31.53,17.34,55.0
