fecha,region,tmax_c,tmin_c,tmed_c
2022-01-01,Valle del Guadiana,36.5,19.5,29.0
2022-01-02,Valle del Guadiana,41.5,27.0,34.5
2022-01-03,Valle del Guadiana,44.0,28.4,36.1
2022-01-04,Valle del Guadiana,41.0,26.6,34.2
2022-01-05,Valle del Guadiana,37.1,21.8,29.1
2022-01-06,Valle del Guadiana,37.8,22.8,29.9
2022-01-07,Valle del Guadiana,38.7,24.4,33.4
2022-01-08,Valle del Guadiana,45.2,28.8,35.8
2022-01-09,Valle del Guadiana,32.9,20.7,26.4
2022-01-10,Valle del Guadiana,42.8,26.8,35.3
2022-01-11,Valle del Guadiana,42.8,26.5,35.3
2022-01-12,Valle del Guadiana,40.2,30.2,36.2
2022-01-13,Valle del Guadiana,39.8,26.3,33.2
2022-01-14,Valle del Guadiana,36.6,24.3,30.2
2022-01-15,Valle del Guadiana,39.1,25.1,32.1
2022-01-16,Valle del Guadiana,41.8,27.0,34.1
2022-01-17,Valle del Guadiana,40.2,23.4,31.9
2022-01-18,Valle del Guadiana,39.7,24.1,32.5
2022-01-19,Valle del Guadiana,42.4,26.8,32.5
2022-01-20,Valle del Guadiana,42.7,26.9,32.7
2022-01-21,Valle del Guadiana,38.9,29.0,34.1
2022-01-22,Valle del Guadiana,41.9,27.0,32.7
2022-01-23,Valle del Guadiana,42.3,26.4,32.9
2022-01-24,Valle del Guadiana,36.5,20.9,29.6
2022-01-25,Valle del Guadiana,38.4,22.7,31.3
2022-01-26,Valle del Guadiana,39.9,24.7,34.1
2022-01-27,Valle del Guadiana,43.3,27.0,35.0
2022-01-28,Valle del Guadiana,43.3,32.5,37.8
2022-01-29,Valle del Guadiana,40.2,25.4,32.6
2022-01-30,Valle del Guadiana,36.4,20.2,29.1
2022-01-31,Valle del Guadiana,38.0,25.3,31.5
2022-02-01,Valle del Guadiana,41.3,27.3,33.5
2022-02-02,Valle del Guadiana,41.2,25.8,32.8
2022-02-03,Valle del Guadiana,36.7,22.3,30.5
2022-02-04,Valle del Guadiana,37.8,22.5,30.2
2022-02-05,Valle del Guadiana,40.7,25.2,31.5
2022-02-06,Valle del Guadiana,38.6,24.2,30.9
